# Temperature [C]  Temperature [K]  Dynamic Viscosity [kg/(m-s)]  Thermal Conductivity [W/(m-K)]  Specific Heat Capacity [J/(kg-K)]  Density [kg/m3]
0                  273.15           0.00179153                    0.56203                         4219.43                            999.84
5                  278.15           0.00151813                    0.57233                         4204.95                            999.97
10                 283.15           0.00130588                    0.58198                         4195.45                            999.70
15                 288.15           0.00113755                    0.59103                         4189.09                            999.10
20                 293.15           0.00100161                    0.59953                         4184.79                            998.21
25                 298.15           0.00089008                    0.60751                         4181.90                            997.05
30                 303.15           0.00079735                    0.61500                         4180.02                            995.65
35                 308.15           0.00071932                    0.62203                         4178.95                            994.04
40                 313.15           0.00065298                    0.62861                         4178.55                            992.22
45                 318.15           0.00059607                    0.63477                         4178.77                            990.22
50                 323.15           0.00054685                    0.64051                         4179.55                            988.05
55                 328.15           0.00050398                    0.64585                         4180.89                            985.71
60                 333.15           0.00046640                    0.65081                         4182.76                            983.21
65                 338.15           0.00043327                    0.65539                         4185.17                            980.57
70                 343.15           0.00040390                    0.65961                         4188.10                            977.78
75                 348.15           0.00037775                    0.66347                         4191.55                            974.86
80                 353.15           0.00035436                    0.66699                         4195.52                            971.80
85                 358.15           0.00033335                    0.67017                         4200.01                            968.62
90                 363.15           0.00031441                    0.67302                         4205.02                            965.32
95                 368.15           0.00029729                    0.67555                         4210.57                            961.90
